innvandring,kjonn,alder,tillit,utdanning,venstre_hoyre
2,Female,57,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
6,Male,58,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
5,Male,63,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Left
3,Male,51,2,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Male,46,8,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
3,Male,55,2,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
7,Male,60,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
8,Male,19,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
6,Female,69,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
5,Female,44,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
10,Female,84,4,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",3
7,Female,53,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",Left
7,Male,68,7,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
5,Female,78,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
8,Male,33,8,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
10,Female,25,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",1
5,Female,48,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",7
8,Male,37,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
8,Female,57,8,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
5,Male,19,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
6,Male,42,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
NA,Female,21,4,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
7,Male,53,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
3,Male,65,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
5,Male,60,2,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",3
10,Female,17,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",7
5,Female,65,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
8,Female,30,3,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
6,Male,29,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
9,Female,24,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
7,Female,35,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
5,Female,58,3,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",NA
5,Female,90,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
6,Female,52,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",7
5,Male,32,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
4,Female,24,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
1,Female,71,No trust at all,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",Right
5,Male,24,4,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
5,Female,22,2,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
4,Male,55,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
5,Male,80,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",9
4,Male,53,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",8
4,Male,65,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",5
8,Female,39,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",3
7,Male,22,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",8
5,Male,50,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Male,62,6,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
8,Female,67,3,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",8
8,Male,55,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
7,Female,24,5,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",7
4,Female,52,4,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",5
6,Female,50,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
8,Female,31,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Left
5,Female,30,No trust at all,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
7,Male,53,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Female,66,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
6,Male,22,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
8,Male,35,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Female,45,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
6,Male,63,7,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
5,Female,51,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
5,Male,64,2,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
5,Male,27,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",3
8,Female,28,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
5,Male,56,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",7
5,Female,44,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
NA,Male,19,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",NA
5,Female,65,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",6
2,Male,40,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
2,Male,54,3,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",8
8,Female,18,6,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
2,Female,36,4,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
5,Male,88,3,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",Right
5,Female,75,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",2
5,Male,72,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",9
5,Female,25,6,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
6,Female,20,8,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",8
5,Female,49,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",3
3,Female,56,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
5,Female,56,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",1
6,Male,23,6,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
8,Male,32,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
8,Female,56,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
7,Female,46,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",6
3,Female,68,2,"Forskernivå (Doktorgrad, Ph.d.)",3
7,Female,33,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
9,Male,21,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
0,Male,47,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",Right
3,Male,NA,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",4
8,Male,38,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",7
6,Male,58,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
5,Male,33,5,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",5
6,Female,43,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",2
5,Male,45,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
5,Female,62,6,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",3
5,Male,42,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
5,Female,55,3,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",8
4,Male,47,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",6
1,Male,48,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
5,Male,69,4,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
7,Male,49,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
7,Male,40,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",4
4,Female,17,7,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",6
7,Female,32,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
10,Male,27,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",1
3,Male,23,1,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
5,Female,66,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Male,17,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",7
6,Female,49,7,"Forskernivå (Doktorgrad, Ph.d.)",4
10,Male,36,1,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
8,Male,20,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",4
5,Male,45,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",1
5,Female,45,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",Left
7,Female,45,6,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",6
6,Female,55,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
5,Male,55,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
5,Female,39,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",5
9,Male,40,3,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",6
7,Female,21,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",5
5,Female,60,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",2
1,Male,33,1,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
8,Male,47,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
6,Male,63,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",2
0,Male,61,1,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",Right
6,Female,87,8,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",1
3,Female,29,5,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",4
7,Female,42,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",5
4,Male,46,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",7
6,Female,57,5,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",Left
5,Male,47,5,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
7,Male,59,7,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",7
8,Male,67,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",Right
8,Female,26,7,"Universitet/høgskole, mindre enn 3 år, men minst 2 år (høgskolekandidat, 2-",4
5,Male,35,4,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
5,Male,55,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",4
9,Female,42,6,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",4
10,Female,42,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
10,Male,19,5,"Ungdomsskole (grunnskole, 7-årig folkeskole, framhaldsskole, realskole)",3
2,Male,46,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
4,Male,50,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",3
7,Female,16,2,Barneskole (første del av obligatorisk utdanning),3
5,Female,26,3,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",Left
7,Female,48,6,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",8
6,Male,68,7,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",7
10,Female,60,9,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",5
7,Female,44,5,"Fullført 5-6 årig utdanning fra høgskole (master, hovedfag)",4
5,Male,47,3,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
8,Female,35,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",2
8,Female,41,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",NA
5,Male,26,4,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",5
8,Male,54,8,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",7
7,Female,36,5,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",6
3,Male,47,1,"Videregående avsluttende utdanning, allmennfaglige studieretninger/studieforber",3
3,Male,67,5,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",8
10,Female,32,7,"Fullført 3-4 årig utdanning fra universitet (Bachelor, cand.mag.)",3
5,Male,74,7,"Fullført 3-4 årig utdanning fra høgskole (Bachelor-, cand.mag., lærerhøgsko",5
6,Male,34,7,"Fullført 5-6 årig utdanning fra universitet (master, hovedfag), lengre profesj",4
5,Male,76,4,Vitnemål fra folkehøgskole,9
5,Male,39,6,"Videregående avsluttende utdanning, yrkesfaglige studieretninger/utdanningsprog",5
6,Male,88,8,"Vitnemål fra påbygging til videregående utdanning (fagskoleutdanning, teknisk",6
